 t	x0	y0	z0	n
1.653306613226452892e+00	6.275993056427299210e-01	-2.967963218459243602e-01	7.197437425191646199e-01	0.000000000000000000e+00
1.663326653306613112e+00	6.238417462092928911e-01	-3.044340502328691245e-01	7.198203836689756052e-01	0.000000000000000000e+00
1.673346693386773554e+00	6.199910005808183522e-01	-3.120247306019456324e-01	7.198970250609312282e-01	0.000000000000000000e+00
1.683366733466933773e+00	6.160476518810744651e-01	-3.195672228000313031e-01	7.199736666876710434e-01	0.000000000000000000e+00
1.693386773547094215e+00	6.120122972257076022e-01	-3.270603938316665182e-01	7.200503085418318294e-01	0.000000000000000000e+00
1.703406813627254435e+00	6.078855476352249543e-01	-3.345031180312913466e-01	7.201269506160470346e-01	0.000000000000000000e+00
1.713426853707414654e+00	6.036680279458488396e-01	-3.418942772344339964e-01	7.202035929029471095e-01	0.000000000000000000e+00
1.723446893787575096e+00	5.993603767182582587e-01	-3.492327609478256822e-01	7.202802353951592851e-01	0.000000000000000000e+00
1.733466933867735316e+00	5.949632461442286857e-01	-3.565174665184159264e-01	7.203568780853085718e-01	0.000000000000000000e+00
1.743486973947895757e+00	5.904773019511823096e-01	-3.637472993012610400e-01	7.204335209660159833e-01	0.000000000000000000e+00
1.753507014028055977e+00	5.859032233046658211e-01	-3.709211728262614138e-01	7.205101640299002019e-01	0.000000000000000000e+00
1.763527054108216419e+00	5.812417027087648513e-01	-3.780380089637205288e-01	7.205868072695764681e-01	0.000000000000000000e+00
1.773547094188376638e+00	5.764934459044731563e-01	-3.850967380887014846e-01	7.206634506776574689e-01	0.000000000000000000e+00
1.783567134268537080e+00	5.716591717660282068e-01	-3.920962992441540118e-01	7.207400942467522276e-01	0.000000000000000000e+00
1.793587174348697300e+00	5.667396121952298360e-01	-3.990356403027886523e-01	7.208167379694675470e-01	0.000000000000000000e+00
1.803607214428857741e+00	5.617355120137543789e-01	-4.059137181276710193e-01	7.208933818384066772e-01	0.000000000000000000e+00
1.813627254509017961e+00	5.566476288534843997e-01	-4.127294987315133779e-01	7.209700258461700928e-01	0.000000000000000000e+00
1.823647294589178181e+00	5.514767330448634430e-01	-4.194819574346370095e-01	7.210466699853552708e-01	0.000000000000000000e+00
1.833667334669338622e+00	5.462236075032973481e-01	-4.261700790215818824e-01	7.211233142485566905e-01	0.000000000000000000e+00
1.843687374749498842e+00	5.408890476136146708e-01	-4.327928578963389228e-01	7.211999586283655006e-01	0.000000000000000000e+00
1.853707414829659283e+00	5.354738611126054204e-01	-4.393492982361817401e-01	7.212766031173705183e-01	0.000000000000000000e+00
1.863727454909819503e+00	5.299788679696516569e-01	-4.458384141440716042e-01	7.213532477081570082e-01	0.000000000000000000e+00
1.873747494989979945e+00	5.244049002654721514e-01	-4.522592297996148036e-01	7.214298923933076813e-01	0.000000000000000000e+00
1.883767535070140164e+00	5.187528020689928798e-01	-4.586107796085467370e-01	7.215065371654018067e-01	0.000000000000000000e+00
1.893787575150300606e+00	5.130234293123656641e-01	-4.648921083507203678e-01	7.215831820170159894e-01	0.000000000000000000e+00
1.903807615230460826e+00	5.072176496641509491e-01	-4.711022713265760609e-01	7.216598269407239474e-01	0.000000000000000000e+00
1.913827655310621267e+00	5.013363424006823665e-01	-4.772403345020690413e-01	7.217364719290962904e-01	0.000000000000000000e+00
1.923847695390781487e+00	4.953803982756338486e-01	-4.833053746520328819e-01	7.218131169747002973e-01	0.000000000000000000e+00
1.933867735470941707e+00	4.893507193878069983e-01	-4.892964795019566493e-01	7.218897620701009155e-01	0.000000000000000000e+00
